multiplier,std_time,unix_time
7.16,2024-04-14 00:31:32+00:00,1713054692
7.19,2024-04-14 00:32:50+00:00,1713054770
1.0,2024-04-14 00:33:34+00:00,1713054814
1.02,2024-04-14 00:33:57+00:00,1713054837
2.98,2024-04-14 00:34:16+00:00,1713054856
3.38,2024-04-14 00:34:52+00:00,1713054892
4.29,2024-04-14 00:35:15+00:00,1713054915
4.0,2024-04-14 00:36:34+00:00,1713054994
2.25,2024-04-14 00:37:17+00:00,1713055037
1.23,2024-04-14 00:38:55+00:00,1713055135
1.17,2024-04-14 00:39:20+00:00,1713055160
2.22,2024-04-14 00:39:35+00:00,1713055175
2.9,2024-04-14 00:39:54+00:00,1713055194
1.95,2024-04-14 00:40:19+00:00,1713055219
2.07,2024-04-14 00:41:27+00:00,1713055287
3.21,2024-04-14 00:43:26+00:00,1713055406
4.83,2024-04-14 00:43:44+00:00,1713055424
1.55,2024-04-14 00:44:11+00:00,1713055451
7.79,2024-04-14 00:44:37+00:00,1713055477
5.08,2024-04-14 00:45:11+00:00,1713055511
2.3,2024-04-14 00:46:27+00:00,1713055587
1.36,2024-04-14 00:47:06+00:00,1713055626
1.0,2024-04-14 00:48:18+00:00,1713055698
1.06,2024-04-14 00:48:35+00:00,1713055715
18.98,2024-04-14 00:49:33+00:00,1713055773
1.45,2024-04-14 00:49:50+00:00,1713055790
1.7,2024-04-14 00:50:08+00:00,1713055808
2.09,2024-04-14 00:50:22+00:00,1713055822
1.75,2024-04-14 00:51:39+00:00,1713055899
3.09,2024-04-14 00:52:51+00:00,1713055971
1.21,2024-04-14 00:53:51+00:00,1713056031
1.14,2024-04-14 00:54:05+00:00,1713056045
2.56,2024-04-14 00:54:34+00:00,1713056074
1.11,2024-04-14 00:54:47+00:00,1713056087
1.0,2024-04-14 00:55:15+00:00,1713056115
3.39,2024-04-14 00:56:24+00:00,1713056184
1.04,2024-04-14 00:57:45+00:00,1713056265
1.15,2024-04-14 00:59:08+00:00,1713056348
1.0,2024-04-14 00:59:20+00:00,1713056360
1.23,2024-04-14 00:59:36+00:00,1713056376
2.33,2024-04-14 00:59:48+00:00,1713056388
2.38,2024-04-14 01:00:10+00:00,1713056410
2.07,2024-04-14 01:00:51+00:00,1713056451
3.16,2024-04-14 01:02:03+00:00,1713056523
1.6,2024-04-14 01:02:21+00:00,1713056541
1.22,2024-04-14 01:04:49+00:00,1713056689
7.42,2024-04-14 01:05:24+00:00,1713056724
1.0,2024-04-14 01:06:24+00:00,1713056784
25.79,2024-04-14 01:07:05+00:00,1713056825
7.03,2024-04-14 01:08:40+00:00,1713056920
4.29,2024-04-14 01:09:00+00:00,1713056940
10.03,2024-04-14 01:09:53+00:00,1713056993
1.36,2024-04-14 01:10:16+00:00,1713057016
1.52,2024-04-14 01:11:20+00:00,1713057080
1.04,2024-04-14 01:11:44+00:00,1713057104
2.1,2024-04-14 01:12:09+00:00,1713057129
2.53,2024-04-14 01:14:11+00:00,1713057251
1.94,2024-04-14 01:14:24+00:00,1713057264
1.44,2024-04-14 01:14:54+00:00,1713057294
1.66,2024-04-14 01:15:14+00:00,1713057314
1.0,2024-04-14 01:16:16+00:00,1713057376
2.46,2024-04-14 01:16:49+00:00,1713057409
5.02,2024-04-14 01:17:10+00:00,1713057430
6.52,2024-04-14 01:18:56+00:00,1713057536
1.54,2024-04-14 01:19:18+00:00,1713057558
3.41,2024-04-14 01:19:50+00:00,1713057590
1.48,2024-04-14 01:20:49+00:00,1713057649
2.86,2024-04-14 01:21:57+00:00,1713057717
35.44,2024-04-14 01:22:54+00:00,1713057774
2.38,2024-04-14 01:23:58+00:00,1713057838
2.18,2024-04-14 01:24:19+00:00,1713057859
1.0,2024-04-14 01:24:41+00:00,1713057881
6.57,2024-04-14 01:25:05+00:00,1713057905
2.58,2024-04-14 01:26:53+00:00,1713058013
1.49,2024-04-14 01:27:56+00:00,1713058076
10.64,2024-04-14 01:28:34+00:00,1713058114
9.34,2024-04-14 01:28:49+00:00,1713058129
168.35,2024-04-14 01:30:05+00:00,1713058205
8.09,2024-04-14 01:31:28+00:00,1713058288
1.0,2024-04-14 01:32:53+00:00,1713058373
10.85,2024-04-14 01:34:28+00:00,1713058468
1.0,2024-04-14 01:34:56+00:00,1713058496
1.08,2024-04-14 01:36:15+00:00,1713058575
1.15,2024-04-14 01:37:54+00:00,1713058674
32.81,2024-04-14 01:38:43+00:00,1713058723
3.26,2024-04-14 01:39:06+00:00,1713058746
6.12,2024-04-14 01:39:39+00:00,1713058779
3.83,2024-04-14 01:39:56+00:00,1713058796
1.05,2024-04-14 01:40:09+00:00,1713058809
